name,height,weight,types,hp,attack,defense,special-attack,special-defense,speed
leavanny,12,205,"bug, grass",75,103,80,70,80,92
venipede,4,53,"bug, poison",30,45,59,30,39,57
whirlipede,12,585,"bug, poison",40,55,99,40,79,47
scolipede,25,2005,"bug, poison",60,100,89,55,69,112
cottonee,3,6,"grass, fairy",40,27,60,37,50,66
whimsicott,7,66,"grass, fairy",60,67,85,77,75,116
petilil,5,66,grass,45,35,50,70,50,30
lilligant,11,163,grass,70,60,75,110,75,90
basculin-red-striped,10,180,water,70,92,65,80,55,98
sandile,7,152,"ground, dark",50,72,35,35,35,65
krokorok,10,334,"ground, dark",60,82,45,45,45,74
krookodile,15,963,"ground, dark",95,117,80,65,70,92
darumaka,6,375,fire,70,90,45,15,45,50
darmanitan-standard,13,929,fire,105,140,55,30,55,95
maractus,10,280,grass,75,86,67,106,67,60
dwebble,3,145,"bug, rock",50,65,85,35,35,55
crustle,14,2000,"bug, rock",70,105,125,65,75,45
scraggy,6,118,"dark, fighting",50,75,70,35,70,48
scrafty,11,300,"dark, fighting",65,90,115,45,115,58
sigilyph,14,140,"psychic, flying",72,58,80,103,80,97
yamask,5,15,ghost,38,30,85,55,65,30
cofagrigus,17,765,ghost,58,50,145,95,105,30
tirtouga,7,165,"water, rock",54,78,103,53,45,22
carracosta,12,810,"water, rock",74,108,133,83,65,32
archen,5,95,"rock, flying",55,112,45,74,45,70
archeops,14,320,"rock, flying",75,140,65,112,65,110
trubbish,6,310,poison,50,50,62,40,62,65
garbodor,19,1073,poison,80,95,82,60,82,75
zorua,7,125,dark,40,65,40,80,40,65
zoroark,16,811,dark,60,105,60,120,60,105
minccino,4,58,normal,55,50,40,40,40,75
cinccino,5,75,normal,75,95,60,65,60,115
gothita,4,58,psychic,45,30,50,55,65,45
gothorita,7,180,psychic,60,45,70,75,85,55
gothitelle,15,440,psychic,70,55,95,95,110,65
solosis,3,10,psychic,45,30,40,105,50,20
duosion,6,80,psychic,65,40,50,125,60,30
reuniclus,10,201,psychic,110,65,75,125,85,30
ducklett,5,55,"water, flying",62,44,50,44,50,55
swanna,13,242,"water, flying",75,87,63,87,63,98
vanillite,4,57,ice,36,50,50,65,60,44
vanillish,11,410,ice,51,65,65,80,75,59
vanilluxe,13,575,ice,71,95,85,110,95,79
deerling,6,195,"normal, grass",60,60,50,40,50,75
sawsbuck,19,925,"normal, grass",80,100,70,60,70,95
emolga,4,50,"electric, flying",55,75,60,75,60,103
karrablast,5,59,bug,50,75,45,40,45,60
escavalier,10,330,"bug, steel",70,135,105,60,105,20
foongus,2,10,"grass, poison",69,55,45,55,55,15
amoonguss,6,105,"grass, poison",114,85,70,85,80,30
frillish,12,330,"water, ghost",55,40,50,65,85,40
jellicent,22,1350,"water, ghost",100,60,70,85,105,60
alomomola,12,316,water,165,75,80,40,45,65
joltik,1,6,"bug, electric",50,47,50,57,50,65
galvantula,8,143,"bug, electric",70,77,60,97,60,108
ferroseed,6,188,"grass, steel",44,50,91,24,86,10
ferrothorn,10,1100,"grass, steel",74,94,131,54,116,20
klink,3,210,steel,40,55,70,45,60,30
klang,6,510,steel,60,80,95,70,85,50
klinklang,6,810,steel,60,100,115,70,85,90
tynamo,2,3,electric,35,55,40,45,40,60
eelektrik,12,220,electric,65,85,70,75,70,40
eelektross,21,805,electric,85,115,80,105,80,50
elgyem,5,90,psychic,55,55,55,85,55,30
beheeyem,10,345,psychic,75,75,75,125,95,40
litwick,3,31,"ghost, fire",50,30,55,65,55,20
lampent,6,130,"ghost, fire",60,40,60,95,60,55
chandelure,10,343,"ghost, fire",60,55,90,145,90,80
axew,6,180,dragon,46,87,60,30,40,57
fraxure,10,360,dragon,66,117,70,40,50,67
haxorus,18,1055,dragon,76,147,90,60,70,97
cubchoo,5,85,ice,55,70,40,60,40,40
beartic,26,2600,ice,95,130,80,70,80,50
cryogonal,11,1480,ice,80,50,50,95,135,105
shelmet,4,77,bug,50,40,85,40,65,25
accelgor,8,253,bug,80,70,40,100,60,145
stunfisk,7,110,"ground, electric",109,66,84,81,99,32
mienfoo,9,200,fighting,45,85,50,55,50,65
mienshao,14,355,fighting,65,125,60,95,60,105
druddigon,16,1390,dragon,77,120,90,60,90,48
golett,10,920,"ground, ghost",59,74,50,35,50,35
golurk,28,3300,"ground, ghost",89,124,80,55,80,55
pawniard,5,102,"dark, steel",45,85,70,40,40,60
bisharp,16,700,"dark, steel",65,125,100,60,70,70
bouffalant,16,946,normal,95,110,95,40,95,55
rufflet,5,105,"normal, flying",70,83,50,37,50,60
braviary,15,410,"normal, flying",100,123,75,57,75,80
vullaby,5,90,"dark, flying",70,55,75,45,65,60
mandibuzz,12,395,"dark, flying",110,65,105,55,95,80
heatmor,14,580,fire,85,97,66,105,66,65
durant,3,330,"bug, steel",58,109,112,48,48,109
deino,8,173,"dark, dragon",52,65,50,45,50,38
zweilous,14,500,"dark, dragon",72,85,70,65,70,58
hydreigon,18,1600,"dark, dragon",92,105,90,125,90,98
larvesta,11,288,"bug, fire",55,85,55,50,55,60
volcarona,16,460,"bug, fire",85,60,65,135,105,100
cobalion,21,2500,"steel, fighting",91,90,129,90,72,108
terrakion,19,2600,"rock, fighting",91,129,90,72,90,108
virizion,20,2000,"grass, fighting",91,90,72,90,129,108
tornadus-incarnate,15,630,flying,79,115,70,125,80,111
thundurus-incarnate,15,610,"electric, flying",79,115,70,125,80,111
reshiram,32,3300,"dragon, fire",100,120,100,150,120,90
zekrom,29,3450,"dragon, electric",100,150,120,120,100,90
landorus-incarnate,15,680,"ground, flying",89,125,90,115,80,101
kyurem,30,3250,"dragon, ice",125,130,90,130,90,95
keldeo-ordinary,14,485,"water, fighting",91,72,90,129,90,108
meloetta-aria,6,65,"normal, psychic",100,77,77,128,128,90
genesect,15,825,"bug, steel",71,120,95,120,95,99
chespin,4,90,grass,56,61,65,48,45,38
quilladin,7,290,grass,61,78,95,56,58,57
chesnaught,16,900,"grass, fighting",88,107,122,74,75,64
fennekin,4,94,fire,40,45,40,62,60,60
braixen,10,145,fire,59,59,58,90,70,73
delphox,15,390,"fire, psychic",75,69,72,114,100,104
froakie,3,70,water,41,56,40,62,44,71
frogadier,6,109,water,54,63,52,83,56,97
greninja,15,400,"water, dark",72,95,67,103,71,122
bunnelby,4,50,normal,38,36,38,32,36,57
diggersby,10,424,"normal, ground",85,56,77,50,77,78
fletchling,3,17,"normal, flying",45,50,43,40,38,62
fletchinder,7,160,"fire, flying",62,73,55,56,52,84
talonflame,12,245,"fire, flying",78,81,71,74,69,126
scatterbug,3,25,bug,38,35,40,27,25,35
spewpa,3,84,bug,45,22,60,27,30,29
vivillon,12,170,"bug, flying",80,52,50,90,50,89
litleo,6,135,"fire, normal",62,50,58,73,54,72
pyroar,15,815,"fire, normal",86,68,72,109,66,106
flabebe,1,1,fairy,44,38,39,61,79,42
floette,2,9,fairy,54,45,47,75,98,52
florges,11,100,fairy,78,65,68,112,154,75
skiddo,9,310,grass,66,65,48,62,57,52
gogoat,17,910,grass,123,100,62,97,81,68
pancham,6,80,fighting,67,82,62,46,48,43
pangoro,21,1360,"fighting, dark",95,124,78,69,71,58
furfrou,12,280,normal,75,80,60,65,90,102
espurr,3,35,psychic,62,48,54,63,60,68
meowstic-male,6,85,psychic,74,48,76,83,81,104
honedge,8,20,"steel, ghost",45,80,100,35,37,28
doublade,8,45,"steel, ghost",59,110,150,45,49,35
aegislash-shield,17,530,"steel, ghost",60,50,140,50,140,60
spritzee,2,5,fairy,78,52,60,63,65,23
aromatisse,8,155,fairy,101,72,72,99,89,29
swirlix,4,35,fairy,62,48,66,59,57,49
slurpuff,8,50,fairy,82,80,86,85,75,72
inkay,4,35,"dark, psychic",53,54,53,37,46,45
malamar,15,470,"dark, psychic",86,92,88,68,75,73
binacle,5,310,"rock, water",42,52,67,39,56,50
barbaracle,13,960,"rock, water",72,105,115,54,86,68
skrelp,5,73,"poison, water",50,60,60,60,60,30
dragalge,18,815,"poison, dragon",65,75,90,97,123,44
clauncher,5,83,water,50,53,62,58,63,44
clawitzer,13,353,water,71,73,88,120,89,59
helioptile,5,60,"electric, normal",44,38,33,61,43,70
heliolisk,10,210,"electric, normal",62,55,52,109,94,109
tyrunt,8,260,"rock, dragon",58,89,77,45,45,48
tyrantrum,25,2700,"rock, dragon",82,121,119,69,59,71
amaura,13,252,"rock, ice",77,59,50,67,63,46
aurorus,27,2250,"rock, ice",123,77,72,99,92,58
sylveon,10,235,fairy,95,65,65,110,130,60
hawlucha,8,215,"fighting, flying",78,92,75,74,63,118
dedenne,2,22,"electric, fairy",67,58,57,81,67,101
carbink,3,57,"rock, fairy",50,50,150,50,150,50
goomy,3,28,dragon,45,50,35,55,75,40
sliggoo,8,175,dragon,68,75,53,83,113,60
goodra,20,1505,dragon,90,100,70,110,150,80
klefki,2,30,"steel, fairy",57,80,91,80,87,75
phantump,4,70,"ghost, grass",43,70,48,50,60,38
trevenant,15,710,"ghost, grass",85,110,76,65,82,56
pumpkaboo-average,4,50,"ghost, grass",49,66,70,44,55,51
gourgeist-average,9,125,"ghost, grass",65,90,122,58,75,84
bergmite,10,995,ice,55,69,85,32,35,28
avalugg,20,5050,ice,95,117,184,44,46,28
noibat,5,80,"flying, dragon",40,30,35,45,40,55
noivern,15,850,"flying, dragon",85,70,80,97,80,123
xerneas,30,2150,fairy,126,131,95,131,98,99
yveltal,58,2030,"dark, flying",126,131,95,131,98,99
zygarde-50,50,3050,"dragon, ground",108,100,121,81,95,95
diancie,7,88,"rock, fairy",50,100,150,100,150,50
hoopa,5,90,"psychic, ghost",80,110,60,150,130,70
volcanion,17,1950,"fire, water",80,110,120,130,90,70
rowlet,3,15,"grass, flying",68,55,55,50,50,42
dartrix,7,160,"grass, flying",78,75,75,70,70,52
decidueye,16,366,"grass, ghost",78,107,75,100,100,70
litten,4,43,fire,45,65,40,60,40,70
torracat,7,250,fire,65,85,50,80,50,90
incineroar,18,830,"fire, dark",95,115,90,80,90,60
popplio,4,75,water,50,54,54,66,56,40
brionne,6,175,water,60,69,69,91,81,50
primarina,18,440,"water, fairy",80,74,74,126,116,60
pikipek,3,12,"normal, flying",35,75,30,30,30,65
trumbeak,6,148,"normal, flying",55,85,50,40,50,75
toucannon,11,260,"normal, flying",80,120,75,75,75,60
yungoos,4,60,normal,48,70,30,30,30,45
gumshoos,7,142,normal,88,110,60,55,60,45
grubbin,4,44,bug,47,62,45,55,45,46
charjabug,5,105,"bug, electric",57,82,95,55,75,36
vikavolt,15,450,"bug, electric",77,70,90,145,75,43
crabrawler,6,70,fighting,47,82,57,42,47,63
crabominable,17,1800,"fighting, ice",97,132,77,62,67,43
oricorio-baile,6,34,"fire, flying",75,70,70,98,70,93
cutiefly,1,2,"bug, fairy",40,45,40,55,40,84
ribombee,2,5,"bug, fairy",60,55,60,95,70,124
rockruff,5,92,rock,45,65,40,30,40,60
lycanroc-midday,8,250,rock,75,115,65,55,65,112
wishiwashi-solo,2,3,water,45,20,20,25,25,40
mareanie,4,80,"poison, water",50,53,62,43,52,45
toxapex,7,145,"poison, water",50,63,152,53,142,35
mudbray,10,1100,ground,70,100,70,45,55,45
mudsdale,25,9200,ground,100,125,100,55,85,35
dewpider,3,40,"water, bug",38,40,52,40,72,27
araquanid,18,820,"water, bug",68,70,92,50,132,42
fomantis,3,15,grass,40,55,35,50,35,35
lurantis,9,185,grass,70,105,90,80,90,45
morelull,2,15,"grass, fairy",40,35,55,65,75,15
shiinotic,10,115,"grass, fairy",60,45,80,90,100,30
salandit,6,48,"poison, fire",48,44,40,71,40,77
salazzle,12,222,"poison, fire",68,64,60,111,60,117
stufful,5,68,"normal, fighting",70,75,50,45,50,50
bewear,21,1350,"normal, fighting",120,125,80,55,60,60
bounsweet,3,32,grass,42,30,38,30,38,32
steenee,7,82,grass,52,40,48,40,48,62
tsareena,12,214,grass,72,120,98,50,98,72
comfey,1,3,fairy,51,52,90,82,110,100
oranguru,15,760,"normal, psychic",90,60,80,90,110,60
passimian,20,828,fighting,100,120,90,40,60,80
wimpod,5,120,"bug, water",25,35,40,20,30,80
golisopod,20,1080,"bug, water",75,125,140,60,90,40
sandygast,5,700,"ghost, ground",55,55,80,70,45,15
palossand,13,2500,"ghost, ground",85,75,110,100,75,35
pyukumuku,3,12,water,55,60,130,30,130,5
type-null,19,1205,normal,95,95,95,95,95,59
silvally,23,1005,normal,95,95,95,95,95,95
minior-red-meteor,3,400,"rock, flying",60,60,100,60,100,60
komala,4,199,normal,65,115,65,75,95,65
turtonator,20,2120,"fire, dragon",60,78,135,91,85,36
togedemaru,3,33,"electric, steel",65,98,63,40,73,96
mimikyu-disguised,2,7,"ghost, fairy",55,90,80,50,105,96
bruxish,9,190,"water, psychic",68,105,70,70,70,92
drampa,30,1850,"normal, dragon",78,60,85,135,91,36
dhelmise,39,2100,"ghost, grass",70,131,100,86,90,40
jangmo-o,6,297,dragon,45,55,65,45,45,45
hakamo-o,12,470,"dragon, fighting",55,75,90,65,70,65
kommo-o,16,782,"dragon, fighting",75,110,125,100,105,85
tapu-koko,18,205,"electric, fairy",70,115,85,95,75,130
tapu-lele,12,186,"psychic, fairy",70,85,75,130,115,95
tapu-bulu,19,455,"grass, fairy",70,130,115,85,95,75
tapu-fini,13,212,"water, fairy",70,75,115,95,130,85
cosmog,2,1,psychic,43,29,31,29,31,37
cosmoem,1,9999,psychic,43,29,131,29,131,37
solgaleo,34,2300,"psychic, steel",137,137,107,113,89,97
lunala,40,1200,"psychic, ghost",137,113,89,137,107,97
nihilego,12,555,"rock, poison",109,53,47,127,131,103
buzzwole,24,3336,"bug, fighting",107,139,139,53,53,79
pheromosa,18,250,"bug, fighting",71,137,37,137,37,151
xurkitree,38,1000,electric,83,89,71,173,71,83
celesteela,92,9999,"steel, flying",97,101,103,107,101,61
kartana,3,1,"grass, steel",59,181,131,59,31,109
guzzlord,55,8880,"dark, dragon",223,101,53,97,53,43
necrozma,24,2300,psychic,97,107,101,127,89,79
magearna,10,805,"steel, fairy",80,95,115,130,115,65
marshadow,7,222,"fighting, ghost",90,125,80,90,90,125
poipole,6,18,poison,67,73,67,73,67,73
naganadel,36,1500,"poison, dragon",73,73,73,127,73,121
stakataka,55,8200,"rock, steel",61,131,211,53,101,13
blacephalon,18,130,"fire, ghost",53,127,53,151,79,107
zeraora,15,445,electric,88,112,75,102,80,143
meltan,2,80,steel,46,65,65,55,35,34
melmetal,25,8000,steel,135,143,143,80,65,34
grookey,3,50,grass,50,65,50,40,40,65
thwackey,7,140,grass,70,85,70,55,60,80
rillaboom,21,900,grass,100,125,90,60,70,85
scorbunny,3,45,fire,50,71,40,40,40,69
raboot,6,90,fire,65,86,60,55,60,94
cinderace,14,330,fire,80,116,75,65,75,119
sobble,3,40,water,50,40,40,70,40,70
drizzile,7,115,water,65,60,55,95,55,90
inteleon,19,452,water,70,85,65,125,65,120
skwovet,3,25,normal,70,55,55,35,35,25
greedent,6,60,normal,120,95,95,55,75,20
rookidee,2,18,flying,38,47,35,33,35,57
corvisquire,8,160,flying,68,67,55,43,55,77
corviknight,22,750,"flying, steel",98,87,105,53,85,67
blipbug,4,80,bug,25,20,20,25,45,45
dottler,4,195,"bug, psychic",50,35,80,50,90,30
orbeetle,4,408,"bug, psychic",60,45,110,80,120,90
nickit,6,89,dark,40,28,28,47,52,50
thievul,12,199,dark,70,58,58,87,92,90
gossifleur,4,22,grass,40,40,60,40,60,10
eldegoss,5,25,grass,60,50,90,80,120,60
wooloo,6,60,normal,42,40,55,40,45,48
dubwool,13,430,normal,72,80,100,60,90,88
chewtle,3,85,water,50,64,50,38,38,44
drednaw,10,1155,"water, rock",90,115,90,48,68,74
yamper,3,135,electric,59,45,50,40,50,26
boltund,10,340,electric,69,90,60,90,60,121
rolycoly,3,120,rock,30,40,50,40,50,30
carkol,11,780,"rock, fire",80,60,90,60,70,50
coalossal,28,3105,"rock, fire",110,80,120,80,90,30
applin,2,5,"grass, dragon",40,40,80,40,40,20
flapple,3,10,"grass, dragon",70,110,80,95,60,70
appletun,4,130,"grass, dragon",110,85,80,100,80,30
silicobra,22,76,ground,52,57,75,35,50,46
sandaconda,38,655,ground,72,107,125,65,70,71
cramorant,8,180,"flying, water",70,85,55,85,95,85
arrokuda,5,10,water,41,63,40,40,30,66
barraskewda,13,300,water,61,123,60,60,50,136
toxel,4,110,"electric, poison",40,38,35,54,35,40
toxtricity-amped,16,400,"electric, poison",75,98,70,114,70,75
sizzlipede,7,10,"fire, bug",50,65,45,50,50,45
centiskorch,30,1200,"fire, bug",100,115,65,90,90,65
clobbopus,6,40,fighting,50,68,60,50,50,32
grapploct,16,390,fighting,80,118,90,70,80,42
sinistea,1,2,ghost,40,45,45,74,54,50
polteageist,2,4,ghost,60,65,65,134,114,70
hatenna,4,34,psychic,42,30,45,56,53,39
hattrem,6,48,psychic,57,40,65,86,73,49
hatterene,21,51,"psychic, fairy",57,90,95,136,103,29
impidimp,4,55,"dark, fairy",45,45,30,55,40,50
morgrem,8,125,"dark, fairy",65,60,45,75,55,70
grimmsnarl,15,610,"dark, fairy",95,120,65,95,75,60
obstagoon,16,460,"dark, normal",93,90,101,60,81,95
perrserker,8,280,steel,70,110,100,50,60,50
cursola,10,4,ghost,60,95,50,145,130,30
sirfetchd,8,1170,fighting,62,135,95,68,82,65
mr-rime,15,582,"ice, psychic",80,85,75,110,100,70
runerigus,16,666,"ground, ghost",58,95,145,50,105,30
milcery,2,3,fairy,45,40,40,50,61,34
alcremie,3,5,fairy,65,60,75,110,121,64
falinks,30,620,fighting,65,100,100,70,60,75
pincurchin,3,10,electric,48,101,95,91,85,15
snom,3,38,"ice, bug",30,25,35,45,30,20
frosmoth,13,420,"ice, bug",70,65,60,125,90,65
stonjourner,25,5200,rock,100,125,135,20,20,70
eiscue-ice,14,890,ice,75,80,110,65,90,50
indeedee-male,9,280,"psychic, normal",60,65,55,105,95,95
morpeko-full-belly,3,30,"electric, dark",58,95,58,70,58,97
cufant,12,1000,steel,72,80,49,40,49,40
copperajah,30,6500,steel,122,130,69,80,69,30
dracozolt,18,1900,"electric, dragon",90,100,90,80,70,75
arctozolt,23,1500,"electric, ice",90,100,90,90,80,55
dracovish,23,2150,"water, dragon",90,90,100,70,80,75
arctovish,20,1750,"water, ice",90,90,100,80,90,55
duraludon,18,400,"steel, dragon",70,95,115,120,50,85
dreepy,5,20,"dragon, ghost",28,60,30,40,30,82
drakloak,14,110,"dragon, ghost",68,80,50,60,50,102
dragapult,30,500,"dragon, ghost",88,120,75,100,75,142
zacian,28,1100,fairy,92,120,115,80,115,138
zamazenta,29,2100,fighting,92,120,115,80,115,138
eternatus,200,9500,"poison, dragon",140,85,95,145,95,130
kubfu,6,120,fighting,60,90,60,53,50,72
urshifu-single-strike,19,1050,"fighting, dark",100,130,100,63,60,97
zarude,18,700,"dark, grass",105,120,105,70,95,105
regieleki,12,1450,electric,80,100,50,100,50,200
regidrago,21,2000,dragon,200,100,50,100,50,80
glastrier,22,8000,ice,100,145,130,65,110,30
spectrier,20,445,ghost,100,65,60,145,80,130
calyrex,11,77,"psychic, grass",100,80,80,80,80,80
wyrdeer,18,951,"normal, psychic",103,105,72,105,75,65
kleavor,18,890,"bug, rock",70,135,95,45,70,85
ursaluna,24,2900,"ground, normal",130,140,105,45,80,50
basculegion-male,30,1100,"water, ghost",120,112,65,80,75,78
sneasler,13,430,"fighting, poison",80,130,60,40,80,120
overqwil,25,605,"dark, poison",85,115,95,65,65,85
enamorus-incarnate,16,480,"fairy, flying",74,115,70,135,80,106
sprigatito,4,41,grass,40,61,54,45,45,65
floragato,9,122,grass,61,80,63,60,63,83
meowscarada,15,312,"grass, dark",76,110,70,81,70,123
fuecoco,4,98,fire,67,45,59,63,40,36
crocalor,10,307,fire,81,55,78,90,58,49
skeledirge,16,3265,"fire, ghost",104,75,100,110,75,66
quaxly,5,61,water,55,65,45,50,45,50
quaxwell,12,215,water,70,85,65,65,60,65
quaquaval,18,619,"water, fighting",85,120,80,85,75,85
lechonk,5,102,normal,54,45,40,35,45,35
oinkologne-male,10,1200,normal,110,100,75,59,80,65
tarountula,3,40,bug,35,41,45,29,40,20
spidops,10,165,bug,60,79,92,52,86,35
nymble,2,10,bug,33,46,40,21,25,45
lokix,10,175,"bug, dark",71,102,78,52,55,92
pawmi,3,25,electric,45,50,20,40,25,60
pawmo,4,65,"electric, fighting",60,75,40,50,40,85
pawmot,9,410,"electric, fighting",70,115,70,70,60,105
tandemaus,3,18,normal,50,50,45,40,45,75
maushold-family-of-four,3,23,normal,74,75,70,65,75,111
fidough,3,109,fairy,37,55,70,30,55,65
dachsbun,5,149,fairy,57,80,115,50,80,95
smoliv,3,65,"grass, normal",41,35,45,58,51,30
dolliv,6,119,"grass, normal",52,53,60,78,78,33
arboliva,14,482,"grass, normal",78,69,90,125,109,39
squawkabilly-green-plumage,6,24,"normal, flying",82,96,51,45,51,92
nacli,4,160,rock,55,55,75,35,35,25
naclstack,6,1050,rock,60,60,100,35,65,35
garganacl,23,2400,rock,100,100,130,45,90,35
charcadet,6,105,fire,40,50,40,50,40,35
armarouge,15,850,"fire, psychic",85,60,100,125,80,75
ceruledge,16,620,"fire, ghost",75,125,80,60,100,85
tadbulb,3,4,electric,61,31,41,59,35,45
bellibolt,12,1130,electric,109,64,91,103,83,45
wattrel,4,36,"electric, flying",40,40,35,55,40,70
kilowattrel,14,386,"electric, flying",70,70,60,105,60,125
maschiff,5,160,dark,60,78,60,40,51,51
mabosstiff,11,610,dark,80,120,90,60,70,85
shroodle,2,7,"poison, normal",40,65,35,40,35,75
grafaiai,7,272,"poison, normal",63,95,65,80,72,110
bramblin,6,6,"grass, ghost",40,65,30,45,35,60
brambleghast,12,60,"grass, ghost",55,115,70,80,70,90
toedscool,9,330,"ground, grass",40,40,35,50,100,70
toedscruel,19,580,"ground, grass",80,70,65,80,120,100
klawf,13,790,rock,70,100,115,35,55,75
capsakid,3,30,grass,50,62,40,62,40,50
scovillain,9,150,"grass, fire",65,108,65,108,65,75
rellor,2,10,bug,41,50,60,31,58,30
rabsca,3,35,"bug, psychic",75,50,85,115,100,45
flittle,2,15,psychic,30,35,30,55,30,75
espathra,19,900,psychic,95,60,60,101,60,105
tinkatink,4,89,"fairy, steel",50,45,45,35,64,58
tinkatuff,7,591,"fairy, steel",65,55,55,45,82,78
tinkaton,7,1128,"fairy, steel",85,75,77,70,105,94
wiglett,12,18,water,10,55,25,35,25,95
wugtrio,12,54,water,35,100,50,50,70,120
bombirdier,15,429,"flying, dark",70,103,85,60,85,82
finizen,13,602,water,70,45,40,45,40,75
palafin-zero,13,602,water,100,70,72,53,62,100
varoom,10,350,"steel, poison",45,70,63,30,45,47
revavroom,18,1200,"steel, poison",80,119,90,54,67,90
cyclizar,16,630,"dragon, normal",70,95,65,85,65,121
orthworm,25,3100,steel,70,85,145,60,55,65
glimmet,7,80,"rock, poison",48,35,42,105,60,60
glimmora,15,450,"rock, poison",83,55,90,130,81,86
greavard,6,350,ghost,50,61,60,30,55,34
houndstone,20,150,ghost,72,101,100,50,97,68
flamigo,16,370,"flying, fighting",82,115,74,75,64,90
cetoddle,12,450,ice,108,68,45,30,40,43
cetitan,45,7000,ice,170,113,65,45,55,73
veluza,25,900,"water, psychic",90,102,73,78,65,70
dondozo,120,2200,water,150,100,115,65,65,35
tatsugiri-curly,3,80,"dragon, water",68,50,60,120,95,82
annihilape,12,560,"fighting, ghost",110,115,80,50,90,90
clodsire,18,2230,"poison, ground",130,75,60,45,100,20
farigiraf,32,1600,"normal, psychic",120,90,70,110,70,60
dudunsparce-two-segment,36,392,normal,125,100,80,85,75,55
kingambit,20,1200,"dark, steel",100,135,120,60,85,50
great-tusk,22,3200,"ground, fighting",115,131,131,53,53,87
scream-tail,12,80,"fairy, psychic",115,65,99,65,115,111
brute-bonnet,12,210,"grass, dark",111,127,99,79,99,55
flutter-mane,14,40,"ghost, fairy",55,55,55,135,135,135
slither-wing,32,920,"bug, fighting",85,135,79,85,105,81
sandy-shocks,23,600,"electric, ground",85,81,97,121,85,101
iron-treads,9,2400,"ground, steel",90,112,120,72,70,106
iron-bundle,6,110,"ice, water",56,80,114,124,60,136
iron-hands,18,3807,"fighting, electric",154,140,108,50,68,50
iron-jugulis,13,1110,"dark, flying",94,80,86,122,80,108
iron-moth,12,360,"fire, poison",80,70,60,140,110,110
iron-thorns,16,3030,"rock, electric",100,134,110,70,84,72
frigibax,5,170,"dragon, ice",65,75,45,35,45,55
arctibax,8,300,"dragon, ice",90,95,66,45,65,62
baxcalibur,21,2100,"dragon, ice",115,145,92,75,86,87
gimmighoul,3,50,ghost,45,30,70,75,70,10
gholdengo,12,300,"steel, ghost",87,60,95,133,91,84
wo-chien,15,742,"dark, grass",85,85,100,95,135,70
chien-pao,19,1522,"dark, ice",80,120,80,90,65,135
ting-lu,27,6997,"dark, ground",155,110,125,55,80,45
chi-yu,4,49,"dark, fire",55,80,80,135,120,100
roaring-moon,20,3800,"dragon, dark",105,139,71,55,101,119
iron-valiant,14,350,"fairy, fighting",74,130,90,120,60,116
koraidon,25,3030,"fighting, dragon",100,135,115,85,100,135
miraidon,35,2400,"electric, dragon",100,85,100,135,115,135
walking-wake,35,2800,"water, dragon",99,83,91,125,83,109
iron-leaves,15,1250,"grass, psychic",90,130,88,70,108,104
dipplin,4,97,"grass, dragon",80,80,110,95,80,40
poltchageist,1,11,"grass, ghost",40,45,45,74,54,50
sinistcha,2,22,"grass, ghost",71,60,106,121,80,70
okidogi,18,922,"poison, fighting",88,128,115,58,86,80
munkidori,10,122,"poison, psychic",88,75,66,130,90,106
fezandipiti,14,301,"poison, fairy",88,91,82,70,125,99
ogerpon,12,398,grass,80,120,84,60,96,110
archaludon,20,600,"steel, dragon",90,105,130,125,65,85
hydrapple,18,930,"grass, dragon",106,80,110,120,80,44
gouging-fire,35,5900,"fire, dragon",105,115,121,65,93,91
raging-bolt,52,4800,"electric, dragon",125,73,91,137,89,75
iron-boulder,15,1625,"rock, psychic",90,120,80,68,108,124
iron-crown,16,1560,"steel, psychic",90,72,100,122,108,98
terapagos,2,65,normal,90,65,85,65,85,60
pecharunt,3,3,"poison, ghost",88,88,160,88,88,88
deoxys-attack,17,608,psychic,50,180,20,180,20,150
deoxys-defense,17,608,psychic,50,70,160,70,160,90
deoxys-speed,17,608,psychic,50,95,90,95,90,180
wormadam-sandy,5,65,"bug, ground",60,79,105,59,85,36
wormadam-trash,5,65,"bug, steel",60,69,95,69,95,36
shaymin-sky,4,52,"grass, flying",100,103,75,120,75,127
giratina-origin,69,6500,"ghost, dragon",150,120,100,120,100,90
rotom-heat,3,3,"electric, fire",50,65,107,105,107,86
rotom-wash,3,3,"electric, water",50,65,107,105,107,86
rotom-frost,3,3,"electric, ice",50,65,107,105,107,86
rotom-fan,3,3,"electric, flying",50,65,107,105,107,86
rotom-mow,3,3,"electric, grass",50,65,107,105,107,86
castform-sunny,3,8,fire,70,70,70,70,70,70
castform-rainy,3,8,water,70,70,70,70,70,70
castform-snowy,3,8,ice,70,70,70,70,70,70
basculin-blue-striped,10,180,water,70,92,65,80,55,98
darmanitan-zen,13,929,"fire, psychic",105,30,105,140,105,55
meloetta-pirouette,6,65,"normal, fighting",100,128,90,77,77,128
tornadus-therian,14,630,flying,79,100,80,110,90,121
thundurus-therian,30,610,"electric, flying",79,105,70,145,80,101
landorus-therian,13,680,"ground, flying",89,145,90,105,80,91
kyurem-black,33,3250,"dragon, ice",125,170,100,120,90,95
kyurem-white,36,3250,"dragon, ice",125,120,90,170,100,95
keldeo-resolute,14,485,"water, fighting",91,72,90,129,90,108
meowstic-female,6,85,psychic,74,48,76,83,81,104
aegislash-blade,17,530,"steel, ghost",60,140,50,140,50,60
